scenario,n,method,solver,fallback,budget,split_count,memory_bytes,selection_score,selection_seconds,candidate_count,test_mean_cost,test_max_cost
stationary_zipf,32,tuned_tv_dro,beam,fixed_rounds,3,3,464,4.904856115107914,0.16649875000007341,34,4.30367575221847,6.0
stationary_zipf,32,tuned_nominal,beam,midpoint_binary,4,4,560,4.20773381294964,0.16373750000002474,34,4.206235952054543,7.0
stationary_zipf,32,fixed_beam,beam,fixed_rounds,4,4,560,,0.0,1,4.247552049513611,6
stationary_zipf,32,fixed_balanced,balanced,fixed_rounds,4,4,560,,0.0,1,5.0,5
stationary_zipf,32,fixed_weighted,weighted,fixed_rounds,4,4,560,,0.0,1,4.341439580392512,7
stationary_hot_head,32,tuned_tv_dro,beam,midpoint_binary,2,2,368,4.195393685051958,0.16528779099985513,24,3.1932773109243695,7.0
stationary_hot_head,32,tuned_nominal,beam,midpoint_binary,2,2,368,3.1953936850519584,0.16118333400004303,24,3.1932773109243695,7.0
stationary_hot_head,32,fixed_beam,beam,fixed_rounds,4,2,368,,0.0,1,3.2184873949579833,7
stationary_hot_head,32,fixed_balanced,balanced,fixed_rounds,4,4,560,,0.0,1,5.0,5
stationary_hot_head,32,fixed_weighted,weighted,fixed_rounds,4,3,464,,0.0,1,3.2184873949579833,7
hot_reversal,32,tuned_tv_dro,beam,midpoint_binary,2,2,368,4.195393685051958,0.16878512499988574,24,6.636363636363636,7.0
hot_reversal,32,tuned_nominal,beam,midpoint_binary,2,2,368,3.1953936850519584,0.16580299999986892,24,6.636363636363636,7.0
hot_reversal,32,fixed_beam,beam,fixed_rounds,4,2,368,,0.0,1,6.829545454545454,7
hot_reversal,32,fixed_balanced,balanced,fixed_rounds,4,4,560,,0.0,1,5.0,5
hot_reversal,32,fixed_weighted,weighted,fixed_rounds,4,3,464,,0.0,1,6.829545454545454,7
partial_hot_drift_15,32,tuned_tv_dro,beam,midpoint_binary,2,2,368,4.195393685051958,0.1617029999999886,24,3.7097402597402596,7.0
partial_hot_drift_15,32,tuned_nominal,beam,midpoint_binary,2,2,368,3.1953936850519584,0.16362054100000023,24,3.7097402597402596,7.0
