n,scenario,implementation,threads,operations,ns_per_operation,checksum,atomics_lock_free
4096,points,direct_fenwick,1,500000,0.647916,1024170384,true
4096,points,direct_prefix,1,500000,0.635832,1024170384,true
4096,points,concurrent_fallback,1,500000,10.595334,1024170384,true
4096,points,concurrent_snapshot,1,500000,3.708082,1024170384,true
4096,points,concurrent_snapshot_session,1,500000,0.9345,1024170384,true
4096,points,concurrent_snapshot_session_unchecked,1,500000,0.764418,1024170384,true
4096,points,direct_fenwick,4,500000,0.233668,1024170384,true
4096,points,direct_prefix,4,500000,0.227166,1024170384,true
4096,points,concurrent_fallback,4,500000,40.810168,1024170384,true
4096,points,concurrent_snapshot,4,500000,19.331416,1024170384,true
4096,points,concurrent_snapshot_session,4,500000,1.053168,1024170384,true
4096,points,concurrent_snapshot_session_unchecked,4,500000,0.354416,1024170384,true
4096,ranges,direct_fenwick,1,500000,2.295,4.10794833443e+12,true
4096,ranges,direct_prefix,1,500000,0.749668,4.10794833443e+12,true
4096,ranges,concurrent_fallback,1,500000,13.681916,4.10794833443e+12,true
4096,ranges,concurrent_snapshot,1,500000,3.723584,4.10794833443e+12,true
4096,ranges,concurrent_snapshot_session,1,500000,1.041582,4.10794833443e+12,true
4096,ranges,concurrent_snapshot_session_unchecked,1,500000,0.76325,4.10794833443e+12,true
4096,ranges,direct_fenwick,4,500000,0.639416,4.10794833443e+12,true
4096,ranges,direct_prefix,4,500000,0.22975,4.10794833443e+12,true
4096,ranges,concurrent_fallback,4,500000,68.00475,4.10794833443e+12,true
4096,ranges,concurrent_snapshot,4,500000,19.88525,4.10794833443e+12,true
4096,ranges,concurrent_snapshot_session,4,500000,1.05525,4.10794833443e+12,true
4096,ranges,concurrent_snapshot_session_unchecked,4,500000,1.040582,4.10794833443e+12,true
65536,points,direct_fenwick,1,500000,0.743082,16357820816,true
65536,points,direct_prefix,1,500000,0.718,16357820816,true
65536,points,concurrent_fallback,1,500000,10.604418,16357820816,true
65536,points,concurrent_snapshot,1,500000,3.7865,16357820816,true
65536,points,concurrent_snapshot_session,1,500000,1.109,16357820816,true
65536,points,concurrent_snapshot_session_unchecked,1,500000,0.980166,16357820816,true
65536,points,direct_fenwick,4,500000,0.457418,16357820816,true
65536,points,direct_prefix,4,500000,0.342666,16357820816,true
65536,points,concurrent_fallback,4,500000,41.397418,16357820816,true
65536,points,concurrent_snapshot,4,500000,20.17875,16357820816,true
65536,points,concurrent_snapshot_session,4,500000,1.064166,16357820816,true
65536,points,concurrent_snapshot_session_unchecked,4,500000,0.608416,16357820816,true
65536,ranges,direct_fenwick,1,500000,3.174166,1.05142848697e+15,true
65536,ranges,direct_prefix,1,500000,0.729834,1.05142848697e+15,true
65536,ranges,concurrent_fallback,1,500000,14.66725,1.05142848697e+15,true
65536,ranges,concurrent_snapshot,1,500000,3.816082,1.05142848697e+15,true
65536,ranges,concurrent_snapshot_session,1,500000,1.076416,1.05142848697e+15,true
65536,ranges,concurrent_snapshot_session_unchecked,1,500000,0.874,1.05142848697e+15,true
65536,ranges,direct_fenwick,4,500000,0.8755,1.05142848697e+15,true
65536,ranges,direct_prefix,4,500000,0.261916,1.05142848697e+15,true
65536,ranges,concurrent_fallback,4,500000,72.271166,1.05142848697e+15,true
65536,ranges,concurrent_snapshot,4,500000,19.106084,1.05142848697e+15,true
65536,ranges,concurrent_snapshot_session,4,500000,1.109916,1.05142848697e+15,true
65536,ranges,concurrent_snapshot_session_unchecked,4,500000,1.039334,1.05142848697e+15,true
