n,workload,method,operations,repeats,median_ns_per_operation,p95_batch_ns_per_operation,checksum,correct,height,hot_key_depth,node_count
1024,uniform_mixed,array,200000,7,17.155,18.054,329537262.000,true,0,0,1024
1024,uniform_mixed,fenwick,200000,7,14.147,14.954,329537262.000,true,10,10,1025
1024,uniform_mixed,segment_tree,200000,7,18.996,19.601,329537262.000,true,10,10,2048
1024,uniform_mixed,certirange,200000,7,63.607,66.245,329537262.000,true,10,10,2047
1024,hotspot_point,array,200000,7,4.503,5.009,81975355.000,true,0,0,1024
1024,hotspot_point,fenwick,200000,7,10.680,10.993,81975355.000,true,10,10,1025
1024,hotspot_point,segment_tree,200000,7,6.061,6.213,81975355.000,true,10,10,2048
1024,hotspot_point,certirange,200000,7,27.434,28.336,81975355.000,true,12,7,2047
1024,clustered_range,array,200000,7,33.909,34.078,707807767.000,true,0,0,1024
1024,clustered_range,fenwick,200000,7,12.825,13.138,707807767.000,true,10,10,1025
1024,clustered_range,segment_tree,200000,7,27.242,27.863,707807767.000,true,10,10,2048
1024,clustered_range,certirange,200000,7,78.286,81.561,707807767.000,true,12,12,2047
16384,uniform_mixed,array,200000,7,309.256,310.118,5166685693.000,true,0,0,16384
16384,uniform_mixed,fenwick,200000,7,16.999,17.270,5166685693.000,true,14,14,16385
16384,uniform_mixed,segment_tree,200000,7,29.505,29.548,5166685693.000,true,14,14,32768
16384,uniform_mixed,certirange,200000,7,143.908,150.023,5166685693.000,true,14,14,32767
16384,hotspot_point,array,200000,7,71.664,71.897,1195758422.000,true,0,0,16384
16384,hotspot_point,fenwick,200000,7,13.648,14.236,1195758422.000,true,14,14,16385
16384,hotspot_point,segment_tree,200000,7,9.179,9.425,1195758422.000,true,14,14,32768
16384,hotspot_point,certirange,200000,7,55.079,57.553,1195758422.000,true,16,11,32767
16384,clustered_range,array,200000,7,751.281,752.417,11400375784.000,true,0,0,16384
16384,clustered_range,fenwick,200000,7,15.538,15.942,11400375784.000,true,14,14,16385
16384,clustered_range,segment_tree,200000,7,40.844,41.053,11400375784.000,true,14,14,32768
16384,clustered_range,certirange,200000,7,141.339,142.913,11400375784.000,true,16,16,32767
100000,uniform_mixed,array,200000,7,2029.974,2030.725,31407373713.000,true,0,0,100000
100000,uniform_mixed,fenwick,200000,7,18.065,18.555,31407373713.000,true,17,17,100001
100000,uniform_mixed,segment_tree,200000,7,36.273,36.552,31407373713.000,true,17,17,200000
100000,uniform_mixed,certirange,200000,7,178.281,186.315,31407373713.000,true,17,17,199999
100000,hotspot_point,array,200000,7,486.078,497.683,7512636815.000,true,0,0,100000
100000,hotspot_point,fenwick,200000,7,15.729,16.567,7512636815.000,true,17,17,100001
100000,hotspot_point,segment_tree,200000,7,11.838,12.530,7512636815.000,true,17,17,200000
100000,hotspot_point,certirange,200000,7,65.354,70.218,7512636815.000,true,18,14,199999
100000,clustered_range,array,200000,7,4886.495,4895.430,72180594733.000,true,0,0,100000
100000,clustered_range,fenwick,200000,7,16.868,17.452,72180594733.000,true,17,17,100001
100000,clustered_range,segment_tree,200000,7,50.793,51.183,72180594733.000,true,17,17,200000
100000,clustered_range,certirange,200000,7,201.031,212.680,72180594733.000,true,18,18,199999
