workload,solver,n,budget,queries,repeats,fallback,median_batch_ns_per_query,p95_batch_ns_per_query,routing_nodes,auxiliary_bytes,total_index_bytes
uniform,certigap_pruned,1000,6,200000,31,fixed_rounds,16.436,16.866,1,48,4048
uniform,balanced_budgeted,1000,6,200000,31,fixed_rounds,18.527,18.749,13,624,4624
uniform,weighted_budgeted,1000,6,200000,31,fixed_rounds,18.456,18.836,13,624,4624
uniform,balanced_full_reference,1000,999,200000,31,fixed_rounds,16.151,16.679,1999,95952,99952
uniform,std_lower_bound,1000,0,200000,31,variable_rounds,15.552,15.944,0,0,4000
zipf,certigap_pruned,1000,6,200000,31,fixed_rounds,25.614,26.704,11,528,4528
zipf,balanced_budgeted,1000,6,200000,31,fixed_rounds,15.678,16.225,13,624,4624
zipf,weighted_budgeted,1000,6,200000,31,fixed_rounds,25.186,25.917,13,624,4624
zipf,balanced_full_reference,1000,999,200000,31,fixed_rounds,15.374,16.073,1999,95952,99952
zipf,std_lower_bound,1000,0,200000,31,variable_rounds,15.088,15.755,0,0,4000
hot_tail,certigap_pruned,1000,6,200000,31,fixed_rounds,21.831,22.519,13,624,4624
hot_tail,balanced_budgeted,1000,6,200000,31,fixed_rounds,15.522,15.876,13,624,4624
hot_tail,weighted_budgeted,1000,6,200000,31,fixed_rounds,24.192,25.346,13,624,4624
hot_tail,balanced_full_reference,1000,999,200000,31,fixed_rounds,16.106,16.577,1999,95952,99952
hot_tail,std_lower_bound,1000,0,200000,31,variable_rounds,15.501,16.123,0,0,4000
ycsb_hotspot_80_20,certigap_pruned,1000,6,200000,31,fixed_rounds,24.692,25.643,13,624,4624
ycsb_hotspot_80_20,balanced_budgeted,1000,6,200000,31,fixed_rounds,16.831,17.224,13,624,4624
ycsb_hotspot_80_20,weighted_budgeted,1000,6,200000,31,fixed_rounds,16.219,16.466,13,624,4624
ycsb_hotspot_80_20,balanced_full_reference,1000,999,200000,31,fixed_rounds,15.893,16.260,1999,95952,99952
ycsb_hotspot_80_20,std_lower_bound,1000,0,200000,31,variable_rounds,15.374,15.742,0,0,4000
ycsb_latest_biased,certigap_pruned,1000,6,200000,31,fixed_rounds,28.326,29.018,13,624,4624
ycsb_latest_biased,balanced_budgeted,1000,6,200000,31,fixed_rounds,14.703,15.817,13,624,4624
ycsb_latest_biased,weighted_budgeted,1000,6,200000,31,fixed_rounds,26.401,26.918,13,624,4624
ycsb_latest_biased,balanced_full_reference,1000,999,200000,31,fixed_rounds,18.673,26.755,1999,95952,99952
ycsb_latest_biased,std_lower_bound,1000,0,200000,31,variable_rounds,19.996,29.051,0,0,4000
uniform,certigap_pruned,10000,6,200000,31,fixed_rounds,29.483,42.514,5,240,40240
uniform,balanced_budgeted,10000,6,200000,31,fixed_rounds,40.318,43.050,13,624,40624
uniform,weighted_budgeted,10000,6,200000,31,fixed_rounds,27.806,29.757,13,624,40624
uniform,balanced_full_reference,10000,9999,200000,31,fixed_rounds,56.518,64.310,19999,959952,999952
uniform,std_lower_bound,10000,0,200000,31,variable_rounds,40.845,46.249,0,0,40000
zipf,certigap_pruned,10000,6,200000,31,fixed_rounds,29.593,34.589,13,624,40624
zipf,balanced_budgeted,10000,6,200000,31,fixed_rounds,24.563,28.187,13,624,40624
zipf,weighted_budgeted,10000,6,200000,31,fixed_rounds,29.327,34.547,13,624,40624
zipf,balanced_full_reference,10000,9999,200000,31,fixed_rounds,56.032,64.146,19999,959952,999952
zipf,std_lower_bound,10000,0,200000,31,variable_rounds,44.236,46.169,0,0,40000
hot_tail,certigap_pruned,10000,6,200000,31,fixed_rounds,22.789,23.756,13,624,40624
hot_tail,balanced_budgeted,10000,6,200000,31,fixed_rounds,24.669,25.330,13,624,40624
hot_tail,weighted_budgeted,10000,6,200000,31,fixed_rounds,27.071,27.659,13,624,40624
hot_tail,balanced_full_reference,10000,9999,200000,31,fixed_rounds,48.577,50.151,19999,959952,999952
hot_tail,std_lower_bound,10000,0,200000,31,variable_rounds,38.813,39.600,0,0,40000
ycsb_hotspot_80_20,certigap_pruned,10000,6,200000,31,fixed_rounds,21.882,22.715,3,144,40144
ycsb_hotspot_80_20,balanced_budgeted,10000,6,200000,31,fixed_rounds,25.125,25.843,13,624,40624
ycsb_hotspot_80_20,weighted_budgeted,10000,6,200000,31,fixed_rounds,23.972,24.977,13,624,40624
ycsb_hotspot_80_20,balanced_full_reference,10000,9999,200000,31,fixed_rounds,50.989,52.120,19999,959952,999952
ycsb_hotspot_80_20,std_lower_bound,10000,0,200000,31,variable_rounds,39.153,40.139,0,0,40000
ycsb_latest_biased,certigap_pruned,10000,6,200000,31,fixed_rounds,30.556,31.370,7,336,40336
ycsb_latest_biased,balanced_budgeted,10000,6,200000,31,fixed_rounds,23.978,24.734,13,624,40624
ycsb_latest_biased,weighted_budgeted,10000,6,200000,31,fixed_rounds,32.435,33.242,13,624,40624
ycsb_latest_biased,balanced_full_reference,10000,9999,200000,31,fixed_rounds,51.153,52.214,19999,959952,999952
ycsb_latest_biased,std_lower_bound,10000,0,200000,31,variable_rounds,38.882,39.963,0,0,40000
