distribution,n,budget,eta,exact,greedy,beam,balanced,weighted,greedy_absolute_objective_gap,beam_absolute_objective_gap,greedy_relative_objective_gap,beam_relative_objective_gap
uniform,8,1,0.00,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,0.000000,0.000000,0.000000
uniform,8,1,0.15,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,0.000000,0.000000,0.000000
uniform,8,1,0.30,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,0.000000,0.000000,0.000000
uniform,8,2,0.00,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,0.000000,0.000000,0.000000
uniform,8,2,0.15,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,0.000000,0.000000,0.000000
uniform,8,2,0.30,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,0.000000,0.000000,0.000000
uniform,8,3,0.00,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,0.000000,0.000000,0.000000
uniform,8,3,0.15,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,0.000000,0.000000,0.000000
uniform,8,3,0.30,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,0.000000,0.000000,0.000000
uniform,8,4,0.00,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,0.000000,0.000000,0.000000
uniform,8,4,0.15,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,0.000000,0.000000,0.000000
uniform,8,4,0.30,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,0.000000,0.000000,0.000000
uniform,12,1,0.00,3.666667,3.666667,3.666667,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
uniform,12,1,0.15,3.716667,3.716667,3.716667,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
uniform,12,1,0.30,3.766667,3.766667,3.766667,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
uniform,12,2,0.00,3.666667,3.666667,3.666667,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
uniform,12,2,0.15,3.716667,3.716667,3.716667,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
uniform,12,2,0.30,3.766667,3.766667,3.766667,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
uniform,12,3,0.00,3.666667,3.666667,3.666667,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
uniform,12,3,0.15,3.716667,3.716667,3.716667,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
uniform,12,3,0.30,3.766667,3.766667,3.766667,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
uniform,12,4,0.00,3.666667,3.666667,3.666667,3.916667,3.916667,0.000000,0.000000,0.000000,0.000000
uniform,12,4,0.15,3.716667,3.716667,3.716667,3.929167,3.929167,0.000000,0.000000,0.000000,0.000000
uniform,12,4,0.30,3.766667,3.766667,3.766667,3.941667,3.941667,0.000000,0.000000,0.000000,0.000000
uniform,16,1,0.00,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
uniform,16,1,0.15,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
uniform,16,1,0.30,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
uniform,16,2,0.00,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
uniform,16,2,0.15,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
uniform,16,2,0.30,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
uniform,16,3,0.00,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
uniform,16,3,0.15,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
uniform,16,3,0.30,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
uniform,16,4,0.00,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
uniform,16,4,0.15,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
uniform,16,4,0.30,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
uniform,20,1,0.00,4.600000,4.600000,4.600000,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000
uniform,20,1,0.15,4.660000,4.660000,4.660000,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000
uniform,20,1,0.30,4.720000,4.720000,4.720000,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000
uniform,20,2,0.00,4.400000,4.600000,4.400000,5.000000,5.000000,0.200000,0.000000,0.045455,0.000000
uniform,20,2,0.15,4.490000,4.660000,4.490000,5.000000,5.000000,0.170000,0.000000,0.037862,0.000000
uniform,20,2,0.30,4.580000,4.720000,4.580000,5.000000,5.000000,0.140000,0.000000,0.030568,0.000000
