distribution,n,budget,eta,candidate_limit,exact_objective,restricted_objective,beam_objective,candidate_pruning_gap,beam_truncation_gap,total_gap,decomposition_residual
uniform,12,2,0.0,4,3.6666666666666665,3.6666666666666665,3.666666666667,0.0,3.33510996597397e-13,3.33510996597397e-13,0.0
uniform,12,2,0.0,8,3.6666666666666665,3.6666666666666665,3.666666666667,0.0,3.33510996597397e-13,3.33510996597397e-13,0.0
uniform,12,2,0.0,16,3.6666666666666665,3.6666666666666665,3.666666666667,0.0,3.33510996597397e-13,3.33510996597397e-13,0.0
uniform,12,2,0.0,32,3.6666666666666665,3.6666666666666665,3.666666666667,0.0,3.33510996597397e-13,3.33510996597397e-13,0.0
uniform,12,2,0.15,4,3.7166666666666663,3.7166666666666663,3.716666666667,0.0,3.33510996597397e-13,3.33510996597397e-13,0.0
uniform,12,2,0.15,8,3.7166666666666663,3.7166666666666663,3.716666666667,0.0,3.33510996597397e-13,3.33510996597397e-13,0.0
uniform,12,2,0.15,16,3.7166666666666663,3.7166666666666663,3.716666666667,0.0,3.33510996597397e-13,3.33510996597397e-13,0.0
uniform,12,2,0.15,32,3.7166666666666663,3.7166666666666663,3.716666666667,0.0,3.33510996597397e-13,3.33510996597397e-13,0.0
uniform,12,2,0.3,4,3.7666666666666666,3.7666666666666666,3.766666666667,0.0,3.33510996597397e-13,3.33510996597397e-13,0.0
uniform,12,2,0.3,8,3.7666666666666666,3.7666666666666666,3.766666666667,0.0,3.33510996597397e-13,3.33510996597397e-13,0.0
uniform,12,2,0.3,16,3.7666666666666666,3.7666666666666666,3.766666666667,0.0,3.33510996597397e-13,3.33510996597397e-13,0.0
uniform,12,2,0.3,32,3.7666666666666666,3.7666666666666666,3.766666666667,0.0,3.33510996597397e-13,3.33510996597397e-13,0.0
uniform,12,3,0.0,4,3.6666666666666665,3.6666666666666665,3.666666666667,0.0,3.33510996597397e-13,3.33510996597397e-13,0.0
uniform,12,3,0.0,8,3.6666666666666665,3.6666666666666665,3.666666666667,0.0,3.33510996597397e-13,3.33510996597397e-13,0.0
uniform,12,3,0.0,16,3.6666666666666665,3.6666666666666665,3.666666666667,0.0,3.33510996597397e-13,3.33510996597397e-13,0.0
