dataset,workload,method,sample_keys,source_keys,queries,repeats,budget,median_ns_per_query,p95_batch_ns_per_query,build_ms,index_bytes,correct
sosd_books_200m,uniform,std_lower_bound,20000,200000000,100000,7,0,44.651,47.268,0.000,0,true
sosd_books_200m,uniform,eytzinger,20000,200000000,100000,7,0,33.624,35.837,0.000,160008,true
sosd_books_200m,uniform,interpolation_guarded,20000,200000000,100000,7,0,849.268,855.832,0.000,0,true
sosd_books_200m,uniform,certigap_partial,20000,200000000,100000,7,16,44.502,46.432,102.042,240,true
sosd_books_200m,uniform,sosd_radix_spline,20000,200000000,100000,7,0,27.035,28.075,0.317,1048900,true
sosd_books_200m,zipf_1_15,std_lower_bound,20000,200000000,100000,7,0,48.385,50.798,0.000,0,true
sosd_books_200m,zipf_1_15,eytzinger,20000,200000000,100000,7,0,22.078,23.724,0.000,160008,true
sosd_books_200m,zipf_1_15,interpolation_guarded,20000,200000000,100000,7,0,369.365,615.946,0.000,0,true
sosd_books_200m,zipf_1_15,certigap_partial,20000,200000000,100000,7,16,54.499,60.962,64.508,1392,true
sosd_books_200m,zipf_1_15,sosd_radix_spline,20000,200000000,100000,7,0,32.221,35.315,0.317,1048900,true
sosd_books_200m,hotspot_80_20,std_lower_bound,20000,200000000,100000,7,0,43.220,44.384,0.000,0,true
sosd_books_200m,hotspot_80_20,eytzinger,20000,200000000,100000,7,0,27.748,28.239,0.000,160008,true
sosd_books_200m,hotspot_80_20,interpolation_guarded,20000,200000000,100000,7,0,772.829,776.595,0.000,0,true
sosd_books_200m,hotspot_80_20,certigap_partial,20000,200000000,100000,7,16,37.747,40.545,80.559,144,true
sosd_books_200m,hotspot_80_20,sosd_radix_spline,20000,200000000,100000,7,0,22.753,26.358,0.317,1048900,true
sosd_books_200m,latest_biased,std_lower_bound,20000,200000000,100000,7,0,42.337,43.806,0.000,0,true
sosd_books_200m,latest_biased,eytzinger,20000,200000000,100000,7,0,18.126,19.794,0.000,160008,true
sosd_books_200m,latest_biased,interpolation_guarded,20000,200000000,100000,7,0,809.941,813.212,0.000,0,true
sosd_books_200m,latest_biased,certigap_partial,20000,200000000,100000,7,16,53.946,57.142,86.581,1392,true
sosd_books_200m,latest_biased,sosd_radix_spline,20000,200000000,100000,7,0,22.085,22.721,0.317,1048900,true
sosd_fb_200m,uniform,std_lower_bound,20000,200000000,100000,7,0,44.203,46.755,0.000,0,true
sosd_fb_200m,uniform,eytzinger,20000,200000000,100000,7,0,33.808,34.737,0.000,160008,true
sosd_fb_200m,uniform,interpolation_guarded,20000,200000000,100000,7,0,772.921,776.820,0.000,0,true
sosd_fb_200m,uniform,certigap_partial,20000,200000000,100000,7,16,44.890,48.108,90.862,240,true
sosd_fb_200m,uniform,sosd_radix_spline,20000,200000000,100000,7,0,21.580,23.767,0.275,1048756,true
sosd_fb_200m,zipf_1_15,std_lower_bound,20000,200000000,100000,7,0,48.142,49.960,0.000,0,true
sosd_fb_200m,zipf_1_15,eytzinger,20000,200000000,100000,7,0,21.630,23.725,0.000,160008,true
sosd_fb_200m,zipf_1_15,interpolation_guarded,20000,200000000,100000,7,0,422.766,425.866,0.000,0,true
sosd_fb_200m,zipf_1_15,certigap_partial,20000,200000000,100000,7,16,47.960,52.178,60.217,1392,true
sosd_fb_200m,zipf_1_15,sosd_radix_spline,20000,200000000,100000,7,0,24.703,26.765,0.275,1048756,true
