distribution,n,budget,eta,solver,objective,average_cost,max_cost,time_ms,quality_gap_vs_exact
uniform,8,2,0.00,exact,3.000000,3.000000,3.000000,0.209000,0.000000
uniform,8,2,0.00,beam,3.000000,3.000000,3.000000,0.398417,0.000000
uniform,8,2,0.00,greedy,3.000000,3.000000,3.000000,0.037542,0.000000
uniform,8,2,0.00,balanced,3.000000,3.000000,3.000000,0.006708,0.000000
uniform,8,2,0.00,weighted,3.000000,3.000000,3.000000,0.009167,0.000000
uniform,8,2,0.15,exact,3.000000,3.000000,3.000000,0.184583,0.000000
uniform,8,2,0.15,beam,3.000000,3.000000,3.000000,0.397708,0.000000
uniform,8,2,0.15,greedy,3.000000,3.000000,3.000000,0.038042,0.000000
uniform,8,2,0.15,balanced,3.000000,3.000000,3.000000,0.006584,0.000000
uniform,8,2,0.15,weighted,3.000000,3.000000,3.000000,0.008958,0.000000
uniform,8,2,0.30,exact,3.000000,3.000000,3.000000,0.183041,0.000000
uniform,8,2,0.30,beam,3.000000,3.000000,3.000000,0.398833,0.000000
uniform,8,2,0.30,greedy,3.000000,3.000000,3.000000,0.037542,0.000000
uniform,8,2,0.30,balanced,3.000000,3.000000,3.000000,0.006542,0.000000
uniform,8,2,0.30,weighted,3.000000,3.000000,3.000000,0.009000,0.000000
uniform,8,3,0.00,exact,3.000000,3.000000,3.000000,0.453708,0.000000
uniform,8,3,0.00,beam,3.000000,3.000000,3.000000,1.263208,0.000000
uniform,8,3,0.00,greedy,3.000000,3.000000,3.000000,0.038292,0.000000
uniform,8,3,0.00,balanced,3.000000,3.000000,3.000000,0.008375,0.000000
uniform,8,3,0.00,weighted,3.000000,3.000000,3.000000,0.011958,0.000000
uniform,8,3,0.15,exact,3.000000,3.000000,3.000000,0.461708,0.000000
uniform,8,3,0.15,beam,3.000000,3.000000,3.000000,1.237500,0.000000
uniform,8,3,0.15,greedy,3.000000,3.000000,3.000000,0.037709,0.000000
uniform,8,3,0.15,balanced,3.000000,3.000000,3.000000,0.008250,0.000000
uniform,8,3,0.15,weighted,3.000000,3.000000,3.000000,0.011791,0.000000
uniform,8,3,0.30,exact,3.000000,3.000000,3.000000,0.476916,0.000000
uniform,8,3,0.30,beam,3.000000,3.000000,3.000000,1.238917,0.000000
uniform,8,3,0.30,greedy,3.000000,3.000000,3.000000,0.039250,0.000000
uniform,8,3,0.30,balanced,3.000000,3.000000,3.000000,0.008708,0.000000
uniform,8,3,0.30,weighted,3.000000,3.000000,3.000000,0.011916,0.000000
uniform,8,4,0.00,exact,3.000000,3.000000,3.000000,0.868125,0.000000
uniform,8,4,0.00,beam,3.000000,3.000000,3.000000,2.057125,0.000000
uniform,8,4,0.00,greedy,3.000000,3.000000,3.000000,0.038292,0.000000
uniform,8,4,0.00,balanced,3.000000,3.000000,3.000000,0.010208,0.000000
uniform,8,4,0.00,weighted,3.000000,3.000000,3.000000,0.014458,0.000000
uniform,8,4,0.15,exact,3.000000,3.000000,3.000000,0.893542,0.000000
uniform,8,4,0.15,beam,3.000000,3.000000,3.000000,2.073583,0.000000
uniform,8,4,0.15,greedy,3.000000,3.000000,3.000000,0.038667,0.000000
uniform,8,4,0.15,balanced,3.000000,3.000000,3.000000,0.010084,0.000000
uniform,8,4,0.15,weighted,3.000000,3.000000,3.000000,0.014334,0.000000
uniform,8,4,0.30,exact,3.000000,3.000000,3.000000,0.875667,0.000000
uniform,8,4,0.30,beam,3.000000,3.000000,3.000000,2.045584,0.000000
uniform,8,4,0.30,greedy,3.000000,3.000000,3.000000,0.038292,0.000000
uniform,8,4,0.30,balanced,3.000000,3.000000,3.000000,0.010125,0.000000
uniform,8,4,0.30,weighted,3.000000,3.000000,3.000000,0.014042,0.000000
uniform,12,2,0.00,exact,3.666667,3.666667,4.000000,0.399208,0.000000
uniform,12,2,0.00,beam,3.666667,3.666667,4.000000,1.014958,0.000000
uniform,12,2,0.00,greedy,3.666667,3.666667,4.000000,0.134167,0.000000
uniform,12,2,0.00,balanced,4.000000,4.000000,4.000000,0.007084,0.333333
uniform,12,2,0.00,weighted,4.000000,4.000000,4.000000,0.010708,0.333333
uniform,12,2,0.15,exact,3.716667,3.666667,4.000000,0.398208,0.000000
uniform,12,2,0.15,beam,3.716667,3.666667,4.000000,1.009083,0.000000
uniform,12,2,0.15,greedy,3.716667,3.666667,4.000000,0.132375,0.000000
uniform,12,2,0.15,balanced,4.000000,4.000000,4.000000,0.006708,0.283333
uniform,12,2,0.15,weighted,4.000000,4.000000,4.000000,0.010209,0.283333
uniform,12,2,0.30,exact,3.766667,3.666667,4.000000,0.395084,0.000000
uniform,12,2,0.30,beam,3.766667,3.666667,4.000000,1.014292,0.000000
uniform,12,2,0.30,greedy,3.766667,3.666667,4.000000,0.133292,0.000000
uniform,12,2,0.30,balanced,4.000000,4.000000,4.000000,0.006709,0.233333
uniform,12,2,0.30,weighted,4.000000,4.000000,4.000000,0.010167,0.233333
uniform,12,3,0.00,exact,3.666667,3.666667,4.000000,1.212125,0.000000
uniform,12,3,0.00,beam,3.666667,3.666667,4.000000,2.825458,0.000000
uniform,12,3,0.00,greedy,3.666667,3.666667,4.000000,0.133291,0.000000
uniform,12,3,0.00,balanced,4.000000,4.000000,4.000000,0.009125,0.333333
uniform,12,3,0.00,weighted,4.000000,4.000000,4.000000,0.012667,0.333333
uniform,12,3,0.15,exact,3.716667,3.666667,4.000000,1.201750,0.000000
uniform,12,3,0.15,beam,3.716667,3.666667,4.000000,2.844959,0.000000
uniform,12,3,0.15,greedy,3.716667,3.666667,4.000000,0.133167,0.000000
uniform,12,3,0.15,balanced,4.000000,4.000000,4.000000,0.008875,0.283333
uniform,12,3,0.15,weighted,4.000000,4.000000,4.000000,0.013458,0.283333
uniform,12,3,0.30,exact,3.766667,3.666667,4.000000,1.207500,0.000000
uniform,12,3,0.30,beam,3.766667,3.666667,4.000000,2.850375,0.000000
uniform,12,3,0.30,greedy,3.766667,3.666667,4.000000,0.133375,0.000000
uniform,12,3,0.30,balanced,4.000000,4.000000,4.000000,0.008625,0.233333
uniform,12,3,0.30,weighted,4.000000,4.000000,4.000000,0.013083,0.233333
uniform,12,4,0.00,exact,3.666667,3.666667,4.000000,2.439042,0.000000
uniform,12,4,0.00,beam,3.666667,3.666667,4.000000,4.527208,0.000000
uniform,12,4,0.00,greedy,3.666667,3.666667,4.000000,0.133666,0.000000
uniform,12,4,0.00,balanced,3.916667,3.916667,4.000000,0.010584,0.250000
uniform,12,4,0.00,weighted,3.916667,3.916667,4.000000,0.015417,0.250000
uniform,12,4,0.15,exact,3.716667,3.666667,4.000000,2.459542,0.000000
uniform,12,4,0.15,beam,3.716667,3.666667,4.000000,4.582875,0.000000
uniform,12,4,0.15,greedy,3.716667,3.666667,4.000000,0.132917,0.000000
uniform,12,4,0.15,balanced,3.929167,3.916667,4.000000,0.010666,0.212500
