mode,workload,backend,n,operations,repeat,ns_per_operation,build_ns,checksum,blocks
full,A,sqlite_btree,512,5000,0,702.791600,2389292,10489557.000000,0
full,A,sqlite_btree,512,5000,1,640.216600,188458,10489557.000000,0
full,A,sqlite_btree,512,5000,2,684.108200,187750,10489557.000000,0
full,A,sqlite_btree,512,5000,3,689.441600,182500,10489557.000000,0
full,A,sqlite_btree,512,5000,4,646.600000,200667,10489557.000000,0
full,A,sqlite_btree,512,5000,5,608.950000,174292,10489557.000000,0
full,A,sqlite_btree,512,5000,6,615.883200,152083,10489557.000000,0
full,A,sqlite_btree,512,5000,7,646.300000,168000,10489557.000000,0
full,A,sqlite_btree,512,5000,8,618.908400,162250,10489557.000000,0
full,A,sqlite_btree,512,5000,9,621.266600,146375,10489557.000000,0
full,A,sqlite_btree,512,5000,10,648.300000,155250,10489557.000000,0
full,A,sqlite_btree,512,5000,11,656.625000,154083,10489557.000000,0
full,A,sqlite_btree,512,5000,12,649.033400,154084,10489557.000000,0
full,A,sqlite_btree,512,5000,13,649.775000,153375,10489557.000000,0
full,A,sqlite_btree,512,5000,14,612.300000,154709,10489557.000000,0
full,A,sqlite_btree,512,5000,15,660.608400,143084,10489557.000000,0
full,A,sqlite_btree,512,5000,16,754.266800,179667,10489557.000000,0
full,A,sqlite_btree,512,5000,17,608.866600,144583,10489557.000000,0
full,A,sqlite_btree,512,5000,18,693.458400,143458,10489557.000000,0
full,A,sqlite_btree,512,5000,19,726.258400,180917,10489557.000000,0
full,A,sqlite_btree,512,5000,20,620.533200,142042,10489557.000000,0
full,A,sqlite_btree,512,5000,21,666.633200,187458,10489557.000000,0
full,A,sqlite_btree,512,5000,22,674.450000,179917,10489557.000000,0
full,A,sqlite_btree,512,5000,23,676.075000,167708,10489557.000000,0
full,A,sqlite_btree,512,5000,24,681.966600,165083,10489557.000000,0
full,A,fenwick,512,5000,0,214.208400,162375,10489557.000000,0
full,A,fenwick,512,5000,1,214.400000,155500,10489557.000000,0
full,A,fenwick,512,5000,2,213.733400,151083,10489557.000000,0
full,A,fenwick,512,5000,3,214.425000,151667,10489557.000000,0
full,A,fenwick,512,5000,4,209.325000,151750,10489557.000000,0
full,A,fenwick,512,5000,5,199.941800,141584,10489557.000000,0
full,A,fenwick,512,5000,6,200.216600,142250,10489557.000000,0
full,A,fenwick,512,5000,7,200.283400,141167,10489557.000000,0
full,A,fenwick,512,5000,8,200.850000,141625,10489557.000000,0
full,A,fenwick,512,5000,9,223.500000,151208,10489557.000000,0
full,A,fenwick,512,5000,10,223.316600,158042,10489557.000000,0
full,A,fenwick,512,5000,11,222.391600,158125,10489557.000000,0
full,A,fenwick,512,5000,12,223.891600,158458,10489557.000000,0
full,A,fenwick,512,5000,13,199.166800,140625,10489557.000000,0
full,A,fenwick,512,5000,14,199.341600,140625,10489557.000000,0
full,A,fenwick,512,5000,15,199.541800,141750,10489557.000000,0
full,A,fenwick,512,5000,16,198.300000,142583,10489557.000000,0
full,A,fenwick,512,5000,17,222.950000,138791,10489557.000000,0
full,A,fenwick,512,5000,18,223.400000,160208,10489557.000000,0
full,A,fenwick,512,5000,19,222.700000,158000,10489557.000000,0
full,A,fenwick,512,5000,20,224.241600,158541,10489557.000000,0
full,A,fenwick,512,5000,21,203.483400,159250,10489557.000000,0
full,A,fenwick,512,5000,22,199.458400,140292,10489557.000000,0
full,A,fenwick,512,5000,23,201.625000,141500,10489557.000000,0
full,A,fenwick,512,5000,24,199.500000,143250,10489557.000000,0
full,A,certigap_h,512,5000,0,522.925000,50542,10489557.000000,8
full,A,certigap_h,512,5000,1,551.358200,46708,10489557.000000,8
full,A,certigap_h,512,5000,2,647.266600,45541,10489557.000000,8
full,A,certigap_h,512,5000,3,574.691600,44917,10489557.000000,8
full,A,certigap_h,512,5000,4,528.333200,36500,10489557.000000,8
full,A,certigap_h,512,5000,5,559.758400,36042,10489557.000000,8
full,A,certigap_h,512,5000,6,565.508200,39791,10489557.000000,8
full,A,certigap_h,512,5000,7,557.333400,38125,10489557.000000,8
full,A,certigap_h,512,5000,8,568.658200,38250,10489557.000000,8
full,A,certigap_h,512,5000,9,591.891600,40917,10489557.000000,8
full,A,certigap_h,512,5000,10,555.983400,40875,10489557.000000,8
full,A,certigap_h,512,5000,11,521.933400,36500,10489557.000000,8
full,A,certigap_h,512,5000,12,574.133200,36167,10489557.000000,8
full,A,certigap_h,512,5000,13,579.275000,41333,10489557.000000,8
full,A,certigap_h,512,5000,14,534.866800,38959,10489557.000000,8
full,A,certigap_h,512,5000,15,542.158200,38333,10489557.000000,8
full,A,certigap_h,512,5000,16,571.700000,41542,10489557.000000,8
full,A,certigap_h,512,5000,17,559.700000,41791,10489557.000000,8
full,A,certigap_h,512,5000,18,552.783400,39333,10489557.000000,8
full,A,certigap_h,512,5000,19,568.050000,39709,10489557.000000,8
full,A,certigap_h,512,5000,20,573.716600,41791,10489557.000000,8
full,A,certigap_h,512,5000,21,550.800000,41334,10489557.000000,8
full,A,certigap_h,512,5000,22,551.150000,40334,10489557.000000,8
full,A,certigap_h,512,5000,23,549.541600,39292,10489557.000000,8
full,A,certigap_h,512,5000,24,563.825000,39584,10489557.000000,8
full,B,sqlite_btree,512,5000,0,706.358400,255625,10437863.000000,0
full,B,sqlite_btree,512,5000,1,703.233400,181250,10437863.000000,0
full,B,sqlite_btree,512,5000,2,700.766600,170333,10437863.000000,0
full,B,sqlite_btree,512,5000,3,701.108200,166708,10437863.000000,0
full,B,sqlite_btree,512,5000,4,735.100000,168125,10437863.000000,0
full,B,sqlite_btree,512,5000,5,715.858400,170750,10437863.000000,0
full,B,sqlite_btree,512,5000,6,712.733400,159042,10437863.000000,0
full,B,sqlite_btree,512,5000,7,737.900000,165875,10437863.000000,0
full,B,sqlite_btree,512,5000,8,700.241600,160667,10437863.000000,0
full,B,sqlite_btree,512,5000,9,707.058200,159583,10437863.000000,0
full,B,sqlite_btree,512,5000,10,706.083400,158291,10437863.000000,0
full,B,sqlite_btree,512,5000,11,707.141800,159042,10437863.000000,0
full,B,sqlite_btree,512,5000,12,705.550000,156625,10437863.000000,0
full,B,sqlite_btree,512,5000,13,704.008400,157542,10437863.000000,0
full,B,sqlite_btree,512,5000,14,702.858400,159125,10437863.000000,0
full,B,sqlite_btree,512,5000,15,706.541600,158583,10437863.000000,0
full,B,sqlite_btree,512,5000,16,713.108200,157292,10437863.000000,0
full,B,sqlite_btree,512,5000,17,655.800000,201083,10437863.000000,0
full,B,sqlite_btree,512,5000,18,640.733400,162666,10437863.000000,0
full,B,sqlite_btree,512,5000,19,716.200000,207500,10437863.000000,0
full,B,sqlite_btree,512,5000,20,679.658400,197042,10437863.000000,0
full,B,sqlite_btree,512,5000,21,717.650000,165875,10437863.000000,0
full,B,sqlite_btree,512,5000,22,810.550000,191167,10437863.000000,0
full,B,sqlite_btree,512,5000,23,664.175000,152000,10437863.000000,0
full,B,sqlite_btree,512,5000,24,788.083200,148125,10437863.000000,0
full,B,fenwick,512,5000,0,52.191600,148250,10437863.000000,0
full,B,fenwick,512,5000,1,50.683400,144958,10437863.000000,0
full,B,fenwick,512,5000,2,56.591600,141459,10437863.000000,0
full,B,fenwick,512,5000,3,59.525000,167250,10437863.000000,0
full,B,fenwick,512,5000,4,59.508400,166291,10437863.000000,0
full,B,fenwick,512,5000,5,59.691600,165291,10437863.000000,0
full,B,fenwick,512,5000,6,59.133200,165958,10437863.000000,0
full,B,fenwick,512,5000,7,59.425000,166083,10437863.000000,0
full,B,fenwick,512,5000,8,58.716600,165792,10437863.000000,0
full,B,fenwick,512,5000,9,58.641600,166542,10437863.000000,0
full,B,fenwick,512,5000,10,59.233200,166291,10437863.000000,0
full,B,fenwick,512,5000,11,59.008400,165417,10437863.000000,0
full,B,fenwick,512,5000,12,58.783400,165291,10437863.000000,0
full,B,fenwick,512,5000,13,53.783400,165125,10437863.000000,0
full,B,fenwick,512,5000,14,52.258400,145333,10437863.000000,0
full,B,fenwick,512,5000,15,52.300000,144667,10437863.000000,0
full,B,fenwick,512,5000,16,52.658400,146209,10437863.000000,0
full,B,fenwick,512,5000,17,52.366600,145417,10437863.000000,0
full,B,fenwick,512,5000,18,51.616600,145416,10437863.000000,0
full,B,fenwick,512,5000,19,52.366600,144875,10437863.000000,0
full,B,fenwick,512,5000,20,52.183400,146416,10437863.000000,0
full,B,fenwick,512,5000,21,52.491600,145208,10437863.000000,0
full,B,fenwick,512,5000,22,52.158400,146042,10437863.000000,0
full,B,fenwick,512,5000,23,51.950000,144750,10437863.000000,0
full,B,fenwick,512,5000,24,52.166600,146125,10437863.000000,0
full,B,certigap_h,512,5000,0,146.016800,47208,10437863.000000,8
full,B,certigap_h,512,5000,1,147.733400,38916,10437863.000000,8
full,B,certigap_h,512,5000,2,145.825000,36958,10437863.000000,8
full,B,certigap_h,512,5000,3,146.975000,36959,10437863.000000,8
full,B,certigap_h,512,5000,4,152.083400,39084,10437863.000000,8
full,B,certigap_h,512,5000,5,173.408200,43125,10437863.000000,8
full,B,certigap_h,512,5000,6,174.800000,44167,10437863.000000,8
full,B,certigap_h,512,5000,7,173.816600,43792,10437863.000000,8
full,B,certigap_h,512,5000,8,170.825000,43666,10437863.000000,8
full,B,certigap_h,512,5000,9,171.300000,43541,10437863.000000,8
full,B,certigap_h,512,5000,10,157.700000,44292,10437863.000000,8
full,B,certigap_h,512,5000,11,151.150000,38416,10437863.000000,8
full,B,certigap_h,512,5000,12,151.583400,38542,10437863.000000,8
full,B,certigap_h,512,5000,13,150.625000,38208,10437863.000000,8
full,B,certigap_h,512,5000,14,150.083200,37875,10437863.000000,8
full,B,certigap_h,512,5000,15,151.600000,38833,10437863.000000,8
full,B,certigap_h,512,5000,16,165.466800,38792,10437863.000000,8
full,B,certigap_h,512,5000,17,183.825000,45625,10437863.000000,8
full,B,certigap_h,512,5000,18,185.891600,46833,10437863.000000,8
full,B,certigap_h,512,5000,19,183.250000,45875,10437863.000000,8
full,B,certigap_h,512,5000,20,182.891800,46167,10437863.000000,8
full,B,certigap_h,512,5000,21,177.250000,46917,10437863.000000,8
full,B,certigap_h,512,5000,22,146.450000,36458,10437863.000000,8
full,B,certigap_h,512,5000,23,146.966600,35875,10437863.000000,8
full,B,certigap_h,512,5000,24,145.725000,37875,10437863.000000,8
full,C,sqlite_btree,512,5000,0,649.116600,256000,244669.000000,0
full,C,sqlite_btree,512,5000,1,640.025000,190167,244669.000000,0
full,C,sqlite_btree,512,5000,2,633.650000,166833,244669.000000,0
full,C,sqlite_btree,512,5000,3,651.158400,163791,244669.000000,0
full,C,sqlite_btree,512,5000,4,667.700000,189667,244669.000000,0
full,C,sqlite_btree,512,5000,5,698.150000,182708,244669.000000,0
full,C,sqlite_btree,512,5000,6,746.941600,172833,244669.000000,0
full,C,sqlite_btree,512,5000,7,765.258200,212916,244669.000000,0
full,C,sqlite_btree,512,5000,8,771.400000,205583,244669.000000,0
full,C,sqlite_btree,512,5000,9,666.516600,219583,244669.000000,0
full,C,sqlite_btree,512,5000,10,658.775000,201291,244669.000000,0
full,C,sqlite_btree,512,5000,11,642.841600,185542,244669.000000,0
full,C,sqlite_btree,512,5000,12,638.516600,170375,244669.000000,0
full,C,sqlite_btree,512,5000,13,645.533400,169791,244669.000000,0
full,C,sqlite_btree,512,5000,14,639.741600,166208,244669.000000,0
full,C,sqlite_btree,512,5000,15,662.875000,155167,244669.000000,0
full,C,sqlite_btree,512,5000,16,735.066600,171584,244669.000000,0
full,C,sqlite_btree,512,5000,17,671.650000,175584,244669.000000,0
full,C,sqlite_btree,512,5000,18,716.366800,160708,244669.000000,0
full,C,sqlite_btree,512,5000,19,665.725000,202166,244669.000000,0
full,C,sqlite_btree,512,5000,20,778.050000,182584,244669.000000,0
full,C,sqlite_btree,512,5000,21,637.833400,189125,244669.000000,0
full,C,sqlite_btree,512,5000,22,649.600000,162250,244669.000000,0
full,C,sqlite_btree,512,5000,23,642.583400,156708,244669.000000,0
full,C,sqlite_btree,512,5000,24,663.158400,156959,244669.000000,0
full,C,fenwick,512,5000,0,35.691600,157584,244669.000000,0
full,C,fenwick,512,5000,1,36.333400,155125,244669.000000,0
full,C,fenwick,512,5000,2,33.916600,151959,244669.000000,0
full,C,fenwick,512,5000,3,35.350000,152291,244669.000000,0
full,C,fenwick,512,5000,4,36.450000,153250,244669.000000,0
full,C,fenwick,512,5000,5,35.725000,152291,244669.000000,0
full,C,fenwick,512,5000,6,35.650000,152291,244669.000000,0
full,C,fenwick,512,5000,7,43.858400,152084,244669.000000,0
full,C,fenwick,512,5000,8,40.966600,156000,244669.000000,0
full,C,fenwick,512,5000,9,35.258400,355250,244669.000000,0
full,C,fenwick,512,5000,10,36.058400,159500,244669.000000,0
full,C,fenwick,512,5000,11,35.391600,154250,244669.000000,0
full,C,fenwick,512,5000,12,35.375000,153750,244669.000000,0
full,C,fenwick,512,5000,13,35.416600,153916,244669.000000,0
full,C,fenwick,512,5000,14,35.625000,154000,244669.000000,0
full,C,fenwick,512,5000,15,35.283400,150834,244669.000000,0
full,C,fenwick,512,5000,16,35.225000,149792,244669.000000,0
full,C,fenwick,512,5000,17,34.958200,149958,244669.000000,0
full,C,fenwick,512,5000,18,35.050000,150459,244669.000000,0
full,C,fenwick,512,5000,19,35.641600,150250,244669.000000,0
