mode,workload,backend,n,operations,repeats,median_ns_per_operation,p95_ns_per_operation,bootstrap_median_ci95_low,bootstrap_median_ci95_high,median_build_ns,blocks
full,A,sqlite_btree,512,5000,25,1180.483400,1216.266600,1177.858400,1188.150000,306667,0
full,A,fenwick,512,5000,25,373.016600,379.166800,372.008400,374.933400,265833,0
full,A,certigap_h,512,5000,25,961.325000,997.658200,955.058400,969.441600,72291,8
full,B,sqlite_btree,512,5000,25,1259.550000,1974.458200,1248.216600,1454.575000,355083,0
full,B,fenwick,512,5000,25,195.433200,221.425000,177.650000,199.041800,517416,0
full,B,certigap_h,512,5000,25,405.250000,612.308400,378.025000,453.791600,111125,8
full,C,sqlite_btree,512,5000,25,1445.391800,2249.266600,1301.375000,1885.958200,430500,0
full,C,fenwick,512,5000,25,85.341600,97.983400,84.066800,85.933400,371458,0
full,C,certigap_h,512,5000,25,226.458200,241.825000,225.016800,231.375000,81333,4
full,F,sqlite_btree,512,5000,25,1867.650000,2831.466600,1844.808200,2118.200000,358125,0
full,F,fenwick,512,5000,25,479.633400,579.766800,426.558400,490.991600,318167,0
full,F,certigap_h,512,5000,25,1598.000000,1648.458400,1578.300000,1611.200000,126667,8
full,R,sqlite_btree,512,5000,25,3942.983200,6968.166800,3050.075000,4961.941800,800250,0
full,R,fenwick,512,5000,25,728.650000,1334.908400,624.908400,963.183200,432500,0
full,R,certigap_h,512,5000,25,775.100000,1298.541600,652.716600,942.425000,141416,8
