scenario,n,method,operations,repeats,median_ns_per_operation,p95_batch_ns_per_operation,mad_ns_per_operation,checksum,correct,memory_slots,blocks
left_hot,256,array,6000,9,17.986167,20.819500,0.673667,30327854.000000,true,256,0
left_hot,256,fenwick,6000,9,7.395833,15.034667,1.104167,30327854.000000,true,513,0
left_hot,256,segment_tree,6000,9,15.284667,21.798667,1.145667,30327854.000000,true,768,0
left_hot,256,uniform_block,6000,9,18.076333,24.534833,1.215167,30327854.000000,true,544,16
left_hot,256,certigap_x,6000,9,21.805500,25.423667,0.423667,30327854.000000,true,544,16
two_hot,256,array,6000,9,18.284667,20.743167,0.347167,26956073.000000,true,256,0
two_hot,256,fenwick,6000,9,10.368167,17.013833,0.972333,26956073.000000,true,513,0
two_hot,256,segment_tree,6000,9,15.555500,21.972167,1.180500,26956073.000000,true,768,0
two_hot,256,uniform_block,6000,9,18.347167,23.652833,0.771000,26956073.000000,true,544,16
two_hot,256,certigap_x,6000,9,24.722167,27.465333,1.284833,26956073.000000,true,544,16
uniform,256,array,6000,9,39.875000,41.541667,0.340167,87496538.000000,true,256,0
uniform,256,fenwick,6000,9,17.694500,23.402833,2.083333,87496538.000000,true,513,0
uniform,256,segment_tree,6000,9,34.257000,40.000000,2.194500,87496538.000000,true,768,0
uniform,256,uniform_block,6000,9,35.791667,42.465333,2.333333,87496538.000000,true,544,16
uniform,256,certigap_x,6000,9,35.437500,40.451333,1.284833,87496538.000000,true,544,16
adversarial_edges,256,array,6000,9,22.368000,22.993000,0.097167,28292499.000000,true,256,0
adversarial_edges,256,fenwick,6000,9,12.840333,19.784667,0.895833,28292499.000000,true,513,0
adversarial_edges,256,segment_tree,6000,9,19.312500,24.451500,1.541667,28292499.000000,true,768,0
adversarial_edges,256,uniform_block,6000,9,23.916667,29.743000,1.423667,28292499.000000,true,544,16
adversarial_edges,256,certigap_x,6000,9,33.097333,38.416667,0.451500,28292499.000000,true,544,16
temporal_shift,256,array,6000,9,21.590333,31.000000,1.784833,32197195.000000,true,256,0
temporal_shift,256,fenwick,6000,9,18.270833,26.666667,2.576500,32197195.000000,true,513,0
temporal_shift,256,segment_tree,6000,9,18.326333,26.152833,2.180500,32197195.000000,true,768,0
temporal_shift,256,uniform_block,6000,9,21.277667,29.847333,1.125167,32197195.000000,true,544,16
temporal_shift,256,certigap_x,6000,9,27.007000,31.243167,0.507000,32197195.000000,true,544,16
movielens_100k_frequency_derived,256,array,6000,9,22.222333,24.986167,1.784833,29417452.000000,true,256,0
movielens_100k_frequency_derived,256,fenwick,6000,9,11.298500,19.486167,2.423667,29417452.000000,true,513,0
movielens_100k_frequency_derived,256,segment_tree,6000,9,15.368000,21.750000,1.201333,29417452.000000,true,768,0
movielens_100k_frequency_derived,256,uniform_block,6000,9,18.034833,23.951333,1.028000,29417452.000000,true,544,16
movielens_100k_frequency_derived,256,certigap_x,6000,9,21.201500,26.423667,0.527833,29417452.000000,true,544,16
uci_online_retail_frequency_derived,256,array,6000,9,18.854167,21.409667,0.909833,26211428.000000,true,256,0
uci_online_retail_frequency_derived,256,fenwick,6000,9,11.326333,21.340167,0.986167,26211428.000000,true,513,0
uci_online_retail_frequency_derived,256,segment_tree,6000,9,15.694500,22.666667,1.104333,26211428.000000,true,768,0
uci_online_retail_frequency_derived,256,uniform_block,6000,9,19.555500,25.257000,1.534667,26211428.000000,true,544,16
uci_online_retail_frequency_derived,256,certigap_x,6000,9,26.625000,28.763833,1.916667,26211428.000000,true,544,16
wikimedia_pageviews_frequency_derived,256,array,6000,9,18.611167,27.555500,1.423500,23869618.000000,true,256,0
wikimedia_pageviews_frequency_derived,256,fenwick,6000,9,11.444333,19.715333,1.027667,23869618.000000,true,513,0
wikimedia_pageviews_frequency_derived,256,segment_tree,6000,9,17.264000,25.041667,1.597333,23869618.000000,true,768,0
wikimedia_pageviews_frequency_derived,256,uniform_block,6000,9,23.243000,30.562500,2.562333,23869618.000000,true,520,4
wikimedia_pageviews_frequency_derived,256,certigap_x,6000,9,24.041667,34.979167,1.840167,23869618.000000,true,544,16
