n,scenario,migration_cost_units,candidate,fixed_total_cost,ratio_to_tracking_wfa,memory_slots,height
16,stable_points,2.0,sorted_array,96.000000000000,1.000000000000,16,0
16,stable_points,2.0,prefix_sum,98.000000000000,1.020833333333,33,1
16,stable_points,2.0,fenwick,98.000000000000,1.020833333333,33,4
16,stable_points,2.0,sqrt_decomposition,98.000000000000,1.020833333333,20,1
16,stable_points,2.0,segment_tree,98.000000000000,1.020833333333,32,4
16,stable_points,2.0,certirange_point,482.000000000000,5.020833333333,47,4
16,stable_points,2.0,certirange_range,482.000000000000,5.020833333333,47,4
16,stable_points,8.0,sorted_array,96.000000000000,1.000000000000,16,0
16,stable_points,8.0,prefix_sum,104.000000000000,1.083333333333,33,1
16,stable_points,8.0,fenwick,104.000000000000,1.083333333333,33,4
16,stable_points,8.0,sqrt_decomposition,104.000000000000,1.083333333333,20,1
16,stable_points,8.0,segment_tree,104.000000000000,1.083333333333,32,4
16,stable_points,8.0,certirange_point,488.000000000000,5.083333333333,47,4
16,stable_points,8.0,certirange_range,488.000000000000,5.083333333333,47,4
16,stable_points,32.0,sorted_array,96.000000000000,1.000000000000,16,0
16,stable_points,32.0,prefix_sum,128.000000000000,1.333333333333,33,1
16,stable_points,32.0,fenwick,128.000000000000,1.333333333333,33,4
16,stable_points,32.0,sqrt_decomposition,128.000000000000,1.333333333333,20,1
16,stable_points,32.0,segment_tree,128.000000000000,1.333333333333,32,4
16,stable_points,32.0,certirange_point,512.000000000000,5.333333333333,47,4
16,stable_points,32.0,certirange_range,512.000000000000,5.333333333333,47,4
16,stable_ranges,2.0,sorted_array,1202.000000000000,6.908045977011,16,0
16,stable_ranges,2.0,prefix_sum,174.000000000000,1.000000000000,33,1
16,stable_ranges,2.0,fenwick,361.000000000000,2.074712643678,33,4
16,stable_ranges,2.0,sqrt_decomposition,496.000000000000,2.850574712644,20,1
16,stable_ranges,2.0,segment_tree,361.000000000000,2.074712643678,32,4
16,stable_ranges,2.0,certirange_point,1006.000000000000,5.781609195402,47,4
16,stable_ranges,2.0,certirange_range,1006.000000000000,5.781609195402,47,4
16,stable_ranges,8.0,sorted_array,1202.000000000000,6.164102564103,16,0
