horizon,n,workload,implementation,operations,ns_per_operation,switches,checksum
5000,16,stable_points,sorted_array,5000,1.9334,0,42468
5000,16,stable_points,prefix_sum,5000,1.925,0,42468
5000,16,stable_points,fenwick,5000,1.925,0,42468
5000,16,stable_points,sqrt_decomposition,5000,1.9332,0,42468
5000,16,stable_points,segment_tree,5000,1.9334,0,42468
5000,16,stable_points,tracking_native_fast_sampled,5000,6.875,0,42468
5000,16,stable_ranges,sorted_array,5000,7.3,0,667500
5000,16,stable_ranges,prefix_sum,5000,1.9332,0,667500
5000,16,stable_ranges,fenwick,5000,3,0,667500
5000,16,stable_ranges,sqrt_decomposition,5000,8.15,0,667500
5000,16,stable_ranges,segment_tree,5000,9.5584,0,667500
5000,16,stable_ranges,tracking_native_fast_sampled,5000,7.4916,1,667500
5000,16,stable_updates,sorted_array,5000,1.9334,0,0
5000,16,stable_updates,prefix_sum,5000,8.6582,0,0
5000,16,stable_updates,fenwick,5000,6.55,0,0
5000,16,stable_updates,sqrt_decomposition,5000,4.8084,0,0
5000,16,stable_updates,segment_tree,5000,6.65,0,0
5000,16,stable_updates,tracking_native_fast_sampled,5000,10.2334,0,0
5000,16,range_to_update,sorted_array,5000,4.8584,0,333750
5000,16,range_to_update,prefix_sum,5000,5.125,0,333750
5000,16,range_to_update,fenwick,5000,4.7834,0,333750
5000,16,range_to_update,sqrt_decomposition,5000,6.7834,0,333750
5000,16,range_to_update,segment_tree,5000,7.45,0,333750
5000,16,range_to_update,tracking_native_fast_sampled,5000,9.125,2,333750
5000,16,update_to_range,sorted_array,5000,4.45,0,615000
5000,16,update_to_range,prefix_sum,5000,5.5168,0,615000
5000,16,update_to_range,fenwick,5000,4.7,0,615000
5000,16,update_to_range,sqrt_decomposition,5000,6.45,0,615000
5000,16,update_to_range,segment_tree,5000,8.1,0,615000
5000,16,update_to_range,tracking_native_fast_sampled,5000,8.6582,0,615000
5000,16,alternating,sorted_array,5000,4.5,0,154406
5000,16,alternating,prefix_sum,5000,4.1084,0,154406
5000,16,alternating,fenwick,5000,3.6666,0,154406
5000,16,alternating,sqrt_decomposition,5000,6.3916,0,154406
5000,16,alternating,segment_tree,5000,5.8666,0,154406
5000,16,alternating,tracking_native_fast_sampled,5000,8.225,0,154406
5000,16,short_phases,sorted_array,5000,4.7332,0,-35156
