n,workload,implementation,operations,ns_per_operation,switches,checksum
64,range_to_update,sorted_array,5000,11.575,0,5093772
64,range_to_update,prefix_sum,5000,8.8166,0,5093772
64,range_to_update,fenwick,5000,7.2168,0,5093772
64,range_to_update,sqrt_decomposition,5000,11.2084,0,5093772
64,range_to_update,segment_tree,5000,15.5584,0,5093772
64,range_to_update,tracking_native_uniform_production,5000,65.1582,2,5093772
64,range_to_update,tracking_native_rebuild_metric_production,5000,64.45,2,5093772
64,range_to_update,tracking_native_rebuild_metric_audit,5000,118.5582,2,5093772
64,update_to_range,sorted_array,5000,9.725,0,-930062
64,update_to_range,prefix_sum,5000,8.5166,0,-930062
64,update_to_range,fenwick,5000,6.1916,0,-930062
64,update_to_range,sqrt_decomposition,5000,9.4166,0,-930062
64,update_to_range,segment_tree,5000,11.7666,0,-930062
64,update_to_range,tracking_native_uniform_production,5000,52.3084,1,-930062
64,update_to_range,tracking_native_rebuild_metric_production,5000,52.3166,1,-930062
64,update_to_range,tracking_native_rebuild_metric_audit,5000,117.4084,1,-930062
64,alternating,sorted_array,5000,9.6416,0,2525953
64,alternating,prefix_sum,5000,7.325,0,2525953
64,alternating,fenwick,5000,5.2584,0,2525953
64,alternating,sqrt_decomposition,5000,8.4416,0,2525953
64,alternating,segment_tree,5000,10.075,0,2525953
64,alternating,tracking_native_uniform_production,5000,62.2668,2,2525953
64,alternating,tracking_native_rebuild_metric_production,5000,63.7418,3,2525953
64,alternating,tracking_native_rebuild_metric_audit,5000,126.0918,3,2525953
64,read_mostly,sorted_array,5000,12.5416,0,3744792
64,read_mostly,prefix_sum,5000,3.3916,0,3744792
64,read_mostly,fenwick,5000,4.6166,0,3744792
64,read_mostly,sqrt_decomposition,5000,9.8332,0,3744792
64,read_mostly,segment_tree,5000,10.7834,0,3744792
64,read_mostly,tracking_native_uniform_production,5000,67.9584,3,3744792
64,read_mostly,tracking_native_rebuild_metric_production,5000,63.5916,3,3744792
64,read_mostly,tracking_native_rebuild_metric_audit,5000,129.85,3,3744792
256,range_to_update,sorted_array,5000,64.3334,0,80536116
256,range_to_update,prefix_sum,5000,20.5,0,80536116
256,range_to_update,fenwick,5000,8.35,0,80536116
256,range_to_update,sqrt_decomposition,5000,19.3084,0,80536116
256,range_to_update,segment_tree,5000,19.7416,0,80536116
256,range_to_update,tracking_native_uniform_production,5000,64.8416,2,80536116
256,range_to_update,tracking_native_rebuild_metric_production,5000,64.2084,2,80536116
256,range_to_update,tracking_native_rebuild_metric_audit,5000,144.1082,2,80536116
256,update_to_range,sorted_array,5000,74.875,0,-105776
256,update_to_range,prefix_sum,5000,17.9416,0,-105776
256,update_to_range,fenwick,5000,8.25,0,-105776
256,update_to_range,sqrt_decomposition,5000,18.975,0,-105776
256,update_to_range,segment_tree,5000,21.5416,0,-105776
256,update_to_range,tracking_native_uniform_production,5000,66.15,1,-105776
256,update_to_range,tracking_native_rebuild_metric_production,5000,65.9,1,-105776
256,update_to_range,tracking_native_rebuild_metric_audit,5000,143.725,1,-105776
256,alternating,sorted_array,5000,74.1418,0,41135929
256,alternating,prefix_sum,5000,14.825,0,41135929
256,alternating,fenwick,5000,7.0168,0,41135929
256,alternating,sqrt_decomposition,5000,16.1332,0,41135929
256,alternating,segment_tree,5000,15.625,0,41135929
256,alternating,tracking_native_uniform_production,5000,81.7416,2,41135929
256,alternating,tracking_native_rebuild_metric_production,5000,88.0166,3,41135929
256,alternating,tracking_native_rebuild_metric_audit,5000,155.7582,3,41135929
256,read_mostly,sorted_array,5000,87.175,0,64341173
256,read_mostly,prefix_sum,5000,5.2,0,64341173
256,read_mostly,fenwick,5000,5.8666,0,64341173
256,read_mostly,sqrt_decomposition,5000,18.5166,0,64341173
256,read_mostly,segment_tree,5000,13.375,0,64341173
256,read_mostly,tracking_native_uniform_production,5000,273.7082,1183,64341173
256,read_mostly,tracking_native_rebuild_metric_production,5000,76.1584,3,64341173
256,read_mostly,tracking_native_rebuild_metric_audit,5000,137.5084,3,64341173
4096,range_to_update,sorted_array,5000,1814.6832,0,20542014164
4096,range_to_update,prefix_sum,5000,212.575,0,20542014164
4096,range_to_update,fenwick,5000,9.6334,0,20542014164
4096,range_to_update,sqrt_decomposition,5000,66.8916,0,20542014164
4096,range_to_update,segment_tree,5000,24.9584,0,20542014164
4096,range_to_update,tracking_native_uniform_production,5000,81.75,2,20542014164
4096,range_to_update,tracking_native_rebuild_metric_production,5000,85.1834,2,20542014164
4096,range_to_update,tracking_native_rebuild_metric_audit,5000,144.1,2,20542014164
4096,update_to_range,sorted_array,5000,1991.6834,0,8325066272
4096,update_to_range,prefix_sum,5000,187.8334,0,8325066272
4096,update_to_range,fenwick,5000,7.5168,0,8325066272
4096,update_to_range,sqrt_decomposition,5000,57.9334,0,8325066272
4096,update_to_range,segment_tree,5000,21.8166,0,8325066272
4096,update_to_range,tracking_native_uniform_production,5000,71.3084,1,8325066272
4096,update_to_range,tracking_native_rebuild_metric_production,5000,72.8166,1,8325066272
4096,update_to_range,tracking_native_rebuild_metric_audit,5000,123.3,1,8325066272
4096,alternating,sorted_array,5000,1929.7916,0,14573790443
4096,alternating,prefix_sum,5000,157.8084,0,14573790443
4096,alternating,fenwick,5000,7.9082,0,14573790443
4096,alternating,sqrt_decomposition,5000,55.775,0,14573790443
4096,alternating,segment_tree,5000,26.4,0,14573790443
4096,alternating,tracking_native_uniform_production,5000,106.8166,3,14573790443
4096,alternating,tracking_native_rebuild_metric_production,5000,108.1834,2,14573790443
4096,alternating,tracking_native_rebuild_metric_audit,5000,170.8082,2,14573790443
4096,read_mostly,sorted_array,5000,2893.8666,0,27038439500
4096,read_mostly,prefix_sum,5000,55.0584,0,27038439500
4096,read_mostly,fenwick,5000,7.7084,0,27038439500
4096,read_mostly,sqrt_decomposition,5000,82.6084,0,27038439500
4096,read_mostly,segment_tree,5000,29.2334,0,27038439500
4096,read_mostly,tracking_native_uniform_production,5000,1620.9666,1080,27038439500
4096,read_mostly,tracking_native_rebuild_metric_production,5000,109.8418,3,27038439500
4096,read_mostly,tracking_native_rebuild_metric_audit,5000,169.9,3,27038439500
64,range_to_update,tracking_python_reference,5000,13526.8834,2,5093772
64,update_to_range,tracking_python_reference,5000,14983.9584,1,-930062
64,alternating,tracking_python_reference,5000,14742.2418,2,2525953
64,read_mostly,tracking_python_reference,5000,13946.6416,3,3744792
256,range_to_update,tracking_python_reference,5000,21577.775,2,80536116
256,update_to_range,tracking_python_reference,5000,18443.3334,1,-105776
256,alternating,tracking_python_reference,5000,15140.475,2,41135929
256,read_mostly,tracking_python_reference,5000,29010,1183,64341173
4096,range_to_update,tracking_python_reference,5000,1301421.8416,2,20542014164
4096,update_to_range,tracking_python_reference,5000,1120664.325,1,8325066272
4096,alternating,tracking_python_reference,5000,670376.225,3,14573790443
4096,read_mostly,tracking_python_reference,5000,769007.9916,1080,27038439500
