n,scenario,method,operations,repetitions,median_ns_per_operation,p95_ns_per_operation,checksum,includes_online_accounting,includes_in_trace_rebuilds,initial_build_excluded
64,stable_points,python_list,256,5,66.242,67.383,8320.000000000000,False,False,True
64,stable_points,tracking_wfa,256,5,18025.715,18089.191,8320.000000000000,True,True,True
64,stable_points,sorted_array,256,5,126.305,143.395,8320.000000000000,False,False,True
64,stable_points,prefix_sum,256,5,126.789,133.625,8320.000000000000,False,False,True
64,stable_points,fenwick,256,5,128.418,132.488,8320.000000000000,False,False,True
64,stable_points,sqrt_decomposition,256,5,126.789,186.523,8320.000000000000,False,False,True
64,stable_points,segment_tree,256,5,148.926,181.641,8320.000000000000,False,False,True
64,stable_points,certirange_point,256,5,1029.133,1086.262,8320.000000000000,False,False,True
64,stable_points,certirange_range,256,5,1022.133,1032.227,8320.000000000000,False,False,True
64,stable_ranges,python_list,256,5,481.773,492.352,399935.000000000000,False,False,True
64,stable_ranges,tracking_wfa,256,5,47897.949,48514.160,399935.000000000000,True,True,True
64,stable_ranges,sorted_array,256,5,580.566,617.023,399935.000000000000,False,False,True
64,stable_ranges,prefix_sum,256,5,157.555,168.945,399935.000000000000,False,False,True
64,stable_ranges,fenwick,256,5,581.703,596.191,399935.000000000000,False,False,True
64,stable_ranges,sqrt_decomposition,256,5,1328.125,1372.070,399935.000000000000,False,False,True
64,stable_ranges,segment_tree,256,5,1117.188,1221.680,399935.000000000000,False,False,True
64,stable_ranges,certirange_point,256,5,2710.777,2749.348,399935.000000000000,False,False,True
64,stable_ranges,certirange_range,256,5,2639.648,2744.305,399935.000000000000,False,False,True
64,mixed_read_heavy,python_list,256,5,197.754,198.730,40829.000000000000,False,False,True
64,mixed_read_heavy,tracking_wfa,256,5,34074.059,34374.184,40829.000000000000,True,True,True
64,mixed_read_heavy,sorted_array,256,5,279.625,306.152,40829.000000000000,False,False,True
64,mixed_read_heavy,prefix_sum,256,5,268.555,292.156,40829.000000000000,False,False,True
64,mixed_read_heavy,fenwick,256,5,321.453,339.355,40829.000000000000,False,False,True
64,mixed_read_heavy,sqrt_decomposition,256,5,560.383,604.328,40829.000000000000,False,False,True
64,mixed_read_heavy,segment_tree,256,5,509.602,550.133,40829.000000000000,False,False,True
64,mixed_read_heavy,certirange_point,256,5,2152.992,2183.266,40829.000000000000,False,False,True
64,mixed_read_heavy,certirange_range,256,5,2125.488,2285.320,40829.000000000000,False,False,True
64,point_to_range,python_list,256,5,274.090,299.316,204121.000000000000,False,False,True
64,point_to_range,tracking_wfa,256,5,43244.469,57303.547,204121.000000000000,True,True,True
64,point_to_range,sorted_array,256,5,415.199,452.148,204121.000000000000,False,False,True
64,point_to_range,prefix_sum,256,5,167.805,187.176,204121.000000000000,False,False,True
64,point_to_range,fenwick,256,5,411.133,440.918,204121.000000000000,False,False,True
64,point_to_range,sqrt_decomposition,256,5,840.980,862.469,204121.000000000000,False,False,True
64,point_to_range,segment_tree,256,5,720.215,751.141,204121.000000000000,False,False,True
64,point_to_range,certirange_point,256,5,1849.445,1861.164,204121.000000000000,False,False,True
64,point_to_range,certirange_range,256,5,1850.098,1998.863,204121.000000000000,False,False,True
64,alternating_range_update,python_list,256,5,278.973,305.664,-191533.000000000000,False,False,True
64,alternating_range_update,tracking_wfa,256,5,34211.914,34673.992,-191533.000000000000,True,True,True
64,alternating_range_update,sorted_array,256,5,354.820,405.109,-191533.000000000000,False,False,True
64,alternating_range_update,prefix_sum,256,5,746.582,782.551,-191533.000000000000,False,False,True
64,alternating_range_update,fenwick,256,5,555.664,571.129,-191533.000000000000,False,False,True
64,alternating_range_update,sqrt_decomposition,256,5,1018.555,1035.316,-191533.000000000000,False,False,True
64,alternating_range_update,segment_tree,256,5,946.777,1012.859,-191533.000000000000,False,False,True
64,alternating_range_update,certirange_point,256,5,4575.359,4615.234,-191533.000000000000,False,False,True
64,alternating_range_update,certirange_range,256,5,4568.031,4773.438,-191533.000000000000,False,False,True
256,stable_points,python_list,256,5,63.801,66.895,32896.000000000000,False,False,True
